,,,,,
,,,,,
,,,,,
,,,,,
Nombre,Fuente Verificada,Fecha 2026,Ubicación 2026,Tipo de evento,Sugerencia de empresas participantes
CIC Presidents Institute 2026,https://cic.edu/event/2026-presidents-institute/,4 al 7 de Enero de 2026,"Orlando, Florida, EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
FETC,https://www.fetc.org/,11 al 14 de Enero de 2026,"Orlando, Florida, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
Global Education Forum - Madrid 2026,https://thecgdl.org/ygf2026/,15 al 18 de Enero de 2026,"Madrid, España",Educación superior / internacionalización,"Universidad Siglo 21, Cerem"
ISTE+ASCD Instructional Leaders' Summit 2026,https://event.iste-ascd.org/ILS26/,16 al 19 de Enero de 2026,"San Diego, California, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
Get Your Teach On (GYTO) Fest,https://events.getyourteachon.com/vegas2026?ref=gytosite,17 al 19 de Enero de 2026,"Las Vegas, Nevada, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
AAC&U Annual Meeting 2026,https://www.aacu.org/events,21 al 23 de Enero de 2026,"Washington D.C., EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
IFE EdTech Summit,https://startupslatam.com/ife-edtech-summit-2026-monterrey-sera-el-epicentro-de-la-innovacion-educativa-en-america-latina/,27 al 29 de Enero de 2026,"Monterrey, México",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic, Siglo 21, Social Learning, R'Evolution"
TCEA Convention,https://convention.tcea.org/about/faqs/,31 de Enero al 4 de Febrero de 2026,"San Antonio, Texas, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
AI K12 Deeper Learning Summit,https://www.peteandc.org/2026/ThirdSummit.cfm,3 de Febrero de 2026,"Hershey, PA, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
World Education Summit,https://educationsummit.com/,4 y 5 de Febrero de 2026,"Dubai, EAU",Educación superior / internacionalización,"Universidad Siglo 21, Cerem"
AASA National Conference on Education,https://www.aasa.org/professional-learning/national-conference-on-education,12 al 14 de Febrero de 2026,"Nashville, Tennessee, EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Digital Learning Annual Conference,https://conference.deelac.com/future-dlac-dates,18 al 20 de Febrero de 2026,"Sacramento, California, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
Digital Credentials Summit,https://www.cvent.com/c/abstracts/4eacc00f-fabc-4fae-8a73-72d26b867f39,18 al 20 de Febrero de 2026,"Filadelfia, Pensilvania, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
ACE Experience 2026,https://web.cvent.com/event/7d76e475-73c0-4b97-b034-7cf56b1dd7b9/summary,25 al 28 de Febrero de 2026,"Washington D.C., EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Beyond School Hours (BSH),https://beyondschoolhours.org/,1 al 4 de Marzo de 2026,"Orlando, Florida, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
OLC Innovate 2026,https://onlinelearningconsortium.org/conferences/,3 al 5 de Marzo de 2026,Virtual,Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
SXSW EDU,https://sxswedu.com/,9 al 12 de Marzo de 2026,"Austin, Texas, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Edutic Ontour,https://conference.edutic.org/mx/cdmx2026/,18 de Marzo de 2026,"Ciudad de México, México",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Spring CUE 2026,https://cadrek12.org/events/2026/03/19/computer-using-educators-spring-cue-2026-national-conference-palm-springs-ca,19 al 21 de Marzo de 2026,"Palm Springs, California, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
HolonIQ Global Skills Week,https://portal.qshesummits.com/event/global-skills-week/home,24 al 26 de Marzo de 2026,"Washington D.C., EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
FORUMEDUCA,https://www.forumeduca.com/,"17 y 18, 18 y 19 de Marzo 2026",España,Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Graduate Enrollment Management Summit 2026,https://nagap.memberclicks.net/2025-GEM-Summit,8 al 11 de Abril de 2026,"Baltimore, Maryland, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
ASU+GSV Summit,https://asugsvsummit.com/,12 al 15 de Abril de 2026,"San Diego, California, EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
CoSN 2026,https://serve.uncg.edu/event/cosn-conference-2026/,13 al 15 de Abril de 2026,"Chicago, Illinois, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
UPCEA 2026 Annual Conference,https://conferences.upcea.edu/annual2026/,15 al 17 de Abril de 2026,"Nueva Orleans, Louisiana, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Etech Evolving Education - Conexión Educativa,https://www.etechevolvingeducation.com/,23 de abril de 2026,"Puebla, México",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Bett Brasil,https://brasil.bettshow.com/credenciamento,5 al 8 de Mayo de 2026,"São Paulo, Brasil",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
THE Latin America Universities Summit,https://www.timeshighered-events.com/latin-america-universities-summit-2026,12 al 14 de Mayo de 2026,"Barranquilla, Colombia",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
ATD 2026 International Conference & Expo,https://www.nferias.com/atd-conference-exposition/,17 al 20 de Mayo de 2026,"Los Ángeles, California, EE.UU.",Corporate learning / L&D,"Capabilia, Social Learning"
Inn.kind FIEd 2026,https://innkind.com/ ,19 al 21 mayo,"Ciudad de Panamá, Panamá",Tecnología educativa / EdTech,Klarway
RECLA, https://recla.org/encuentro-regional/,"27, 28 y 29 de mayo","Salta, Argentina",Tecnología educativa / EdTech,Klarway
EDUCAUSE Cybersecurity & Privacy,https://www.educause.edu/focus-areas-and-initiatives/policy-and-security/cybersecurity-program/resources,Por confirmar (Estimado: Mayo 2026),Por confirmar,Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Future Talent Council Global Summit 2026,https://www.futuretalentsummit.org/,16 y 17 junio de 2026,"Stocolmo, Suecia",Educación / innovación (general),Siglo 21
ISTELive 25 + ASCD Annual,https://conference.iste.org/,28 de Junio al 1 de Julio de 2026,"Orlando, Florida, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
Model Schools Conference 2026,https://www.hmhco.com/model-schools-conference,28 de Junio al 1 de Julio de 2026,"Orlando, Florida, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
ISTELive 26 + ASCD Annual 26,https://conference.iste.org/,28 de Junio al 1 de Julio de 2026,"Orlando, Florida, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
InstructureCon 2026,https://www.instructure.com/events/instructurecon/faqs,21 al 23 de Julio de 2026,"Louisville, Kentucky, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Innova Educa,https://21.edu.ar/la-universidad/presencia-regional/innova-educa-21,20 y 21 de Agosto,"Buenos Aires, Argentina",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Edutechnia,https://www.edutechnia.com/pdf/Presentacion-Edutechnia-2026.pdf,26 al 28 de Agosto de 2026,"Bogotá, Colombia",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
EdTech Conference Buenos Aires,https://www.edtechconference.com.ar/,2 de septiembre 2026,"Buenos Aires, Argentina",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
HolonIQ Back to School Summit,https://insights.qs.com/qs-conferences-2025-2026-landing-page,8 al 10 de Septiembre de 2026,"Nueva York, NY, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
HolonIQ Impact Week,https://impactweek.com/,8 al 12 de Septiembre de 2026,Nueva York / Singapur,Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Inbound HubSpot,https://www.cmswire.com/events/conference/hubspot-inbound-boston-2026/,16 al 18 de Septiembre de 2026,"Boston, Massachusetts, EE.UU.",Marketing y tecnología comercial,"Capabilia, Benchlab, Klarway"
EDUCAUSE Annual Conference 2026,https://events.educause.edu/annual-conference/2026,29 de Septiembre al 2 de Octubre de 2026,"Denver, Colorado, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
QS Higher Ed Summit: Americas 2026,https://www.qs.com/conferences/americas,1 y 2 de Octubre de 2026,"Guadalajara, México",Educación superior / internacionalización,"Universidad Siglo 21, Cerem"
NACAC Conference 2026,https://www.tacac.org/nacac,8 al 10 de Octubre de 2026,"Minneapolis, Minnesota, EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
EdTech Week,https://www.edtechweek.com/,12 al 16 de Octubre de 2026,"Nueva York, NY, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
CAEI Congreso de las Américas sobre Educación Internacional,https://oui-iohe.org/es/caei-caie/,"15, 16 y 17 de octubre - Bianual","San José, Costa Rica",Educación superior / internacionalización,"Universidad Siglo 21, Cerem"
Learning Leaders Conference,https://www.learningguild.com/event/learning-leadership-conference,2 y 3 de Noviembre de 2026,"Las Vegas, Nevada, EE.UU.",Corporate learning / L&D,"Capabilia, Social Learning"
Realcup,https://realcup.org/,11 al 13 de noviembre,Ecuador,Tecnología educativa / EdTech,Klarway
DevLearn 2025 Conference & Expo,https://www.learningguild.com/event/devlearn-2025-conference-expo,4 al 6 de Noviembre 2026,"Las Vegas, Nevada, EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
OLC Accelerate 2026,https://onlinelearningconsortium.org/conferences/olc-accelerate2026/, 16 al 19 de Noviembre 2026,"Orlando, Florida, EE.UU.",Educación digital / innovación educativa,"Universidad Siglo 21, Cerem, Capabilia, Benchlab"